customer_id,customer_name,country,segment,signup_date,plan_type,monthly_revenue,partner_id
C00001,Nielsen Consulting ApS,DK,MID,2022-01-08,enterprise,4501,
C00002,Jensen Bogføring ApS,DK,MID,2022-01-05,enterprise,5152,P003
C00003,Sørensen Økonomi ApS,DK,MID,2022-01-18,premium,2460,P003
C00004,Mortensen Bogføring ApS,DK,SMB,2022-01-17,basic,482,P003
C00005,Andersen Revision ApS,DK,SMB,2022-01-19,basic,773,P001
C00006,Holm Consulting ApS,DK,SMB,2022-01-03,basic,698,P001
C00007,Jensen Revision ApS,DK,SMB,2022-01-16,basic,658,P001
C00008,Nielsen Regnskab ApS,DK,SMB,2022-01-14,premium,1110,
C00009,Mortensen Økonomi ApS,DK,MID,2022-01-13,premium,1223,P001
C00010,Nielsen Økonomi ApS,DK,SMB,2022-01-05,basic,577,
C00011,Mortensen Regnskab ApS,DK,MID,2022-01-26,premium,1103,
C00012,Hansen Økonomi ApS,DK,SMB,2022-01-06,basic,655,
C00013,Mortensen Økonomi ApS,DK,ENT,2022-01-01,enterprise,7527,P003
C00014,Mortensen Regnskab ApS,DK,SMB,2022-01-05,basic,479,
C00015,Nielsen Bogføring ApS,DK,SMB,2022-01-02,basic,721,P003
C00016,Christensen Consulting ApS,DK,SMB,2022-01-03,basic,570,P003
C00017,Mortensen Revision ApS,DK,SMB,2022-01-20,basic,786,
C00018,Larsen Økonomi ApS,DK,SMB,2022-01-09,basic,572,P001
C00019,Nielsen Regnskab ApS,DK,ENT,2022-01-11,enterprise,3876,P003
C00020,Christensen Revision ApS,DK,SMB,2022-01-18,basic,628,
C00021,Mortensen Regnskab ApS,DK,SMB,2022-01-10,premium,2440,P003
C00022,Larsen Regnskab ApS,DK,MID,2022-01-22,premium,2358,P001
C00023,Mortensen Økonomi ApS,DK,SMB,2022-02-25,premium,1330,
C00024,Holm Consulting ApS,DK,SMB,2022-02-18,basic,526,P002
C00025,Andersen Revision ApS,DK,SMB,2022-02-05,basic,636,
C00026,Jensen Consulting ApS,DK,MID,2022-02-07,premium,1724,
C00027,Jensen Regnskab ApS,DK,SMB,2022-02-24,premium,2770,P001
C00028,Christensen Revision ApS,DK,MID,2022-02-11,premium,2371,
C00029,Sørensen Revision ApS,DK,SMB,2022-02-04,basic,690,P002
C00030,Jensen Revision ApS,DK,MID,2022-02-27,premium,1048,
C00031,Mortensen Revision ApS,DK,SMB,2022-02-25,basic,654,
C00032,Jensen Revision ApS,DK,SMB,2022-02-09,premium,1543,P003
C00033,Christensen Revision ApS,DK,MID,2022-02-24,premium,2047,P003
C00034,Christensen Revision ApS,DK,MID,2022-02-02,basic,725,
C00035,Nielsen Revision ApS,DK,SMB,2022-02-14,basic,619,
C00036,Mortensen Bogføring ApS,DK,SMB,2022-02-17,basic,656,
C00037,Hansen Consulting ApS,DK,SMB,2022-02-07,premium,2387,
C00038,Jensen Consulting ApS,DK,SMB,2022-02-19,basic,450,P001
C00039,Mortensen Økonomi ApS,DK,MID,2022-02-20,premium,1905,
C00040,Larsen Consulting ApS,DK,ENT,2022-02-26,enterprise,5190,
C00041,Christensen Revision ApS,DK,MID,2022-02-22,premium,2676,
C00042,Holm Regnskab ApS,DK,MID,2022-02-08,basic,473,P002
C00043,Jensen Økonomi ApS,DK,SMB,2022-02-15,basic,549,
C00044,Nielsen Økonomi ApS,DK,SMB,2022-02-13,basic,452,
C00045,Larsen Consulting ApS,DK,MID,2022-03-06,premium,1530,
C00046,Sørensen Consulting ApS,DK,SMB,2022-03-08,basic,596,P002
C00047,Nielsen Økonomi ApS,DK,SMB,2022-03-03,basic,528,
C00048,Jensen Consulting ApS,DK,SMB,2022-03-14,basic,481,P002
C00049,Sørensen Revision ApS,DK,SMB,2022-03-23,premium,2179,P001
C00050,Mortensen Consulting ApS,DK,SMB,2022-03-25,premium,2711,P003
C00051,Jensen Bogføring ApS,DK,SMB,2022-03-08,basic,698,P002
C00052,Holm Consulting ApS,DK,SMB,2022-03-27,basic,768,P002
C00053,Hansen Regnskab ApS,DK,SMB,2022-03-22,basic,519,
C00054,Larsen Økonomi ApS,DK,SMB,2022-03-09,basic,617,P002
C00055,Christensen Regnskab ApS,DK,MID,2022-03-09,premium,2534,P002
C00056,Christensen Regnskab ApS,DK,ENT,2022-03-25,premium,1063,
C00057,Pedersen Revision ApS,DK,SMB,2022-03-20,basic,792,P001
C00058,Hansen Revision ApS,DK,SMB,2022-03-25,basic,508,
C00059,Jensen Økonomi ApS,DK,SMB,2022-03-04,premium,2179,
C00060,Larsen Consulting ApS,DK,SMB,2022-03-23,basic,771,P003
C00061,Jensen Revision ApS,DK,SMB,2022-03-26,premium,2602,P003
C00062,Nielsen Økonomi ApS,DK,SMB,2022-03-03,basic,665,
C00063,Mortensen Revision ApS,DK,MID,2022-03-12,premium,2448,P001
C00064,Holm Revision ApS,DK,MID,2022-03-20,premium,1990,P003
C00065,Holm Consulting ApS,DK,ENT,2022-03-27,enterprise,7492,P002
C00066,Sørensen Revision ApS,DK,SMB,2022-03-22,basic,616,P001
C00067,Sørensen Økonomi ApS,DK,SMB,2022-04-23,basic,638,P003
C00068,Christensen Regnskab ApS,DK,SMB,2022-04-24,basic,682,P002
C00069,Pedersen Revision ApS,DK,SMB,2022-04-11,basic,544,P003
C00070,Christensen Revision ApS,DK,SMB,2022-04-24,premium,2222,P001
