event_id,referral_lead_id,partner_id,event_type,event_at,agent_name,rationale
EV000001,RL00001,,classified,2023-01-12,intake,
EV000002,RL00001,P003,matched,2023-01-14,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000003,RL00001,P003,lost,2023-01-27,monitor,no fit / declined
EV000004,RL00002,,classified,2023-01-07,intake,
EV000005,RL00003,,classified,2023-01-22,intake,
EV000006,RL00003,P003,matched,2023-01-25,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000007,RL00003,P003,outreach_sent,2023-01-26,negotiation,round 1
EV000008,RL00003,P003,reply_received,2023-01-27,negotiation,propose_alternative
EV000009,RL00003,P003,outreach_sent,2023-01-28,negotiation,round 2
EV000010,RL00003,P003,reply_received,2023-01-29,negotiation,propose_alternative
EV000011,RL00003,P003,outreach_sent,2023-01-30,negotiation,round 3
EV000012,RL00003,P003,reply_received,2023-01-31,negotiation,propose_alternative
EV000013,RL00004,,classified,2023-01-27,intake,
EV000014,RL00004,P003,matched,2023-01-29,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000015,RL00004,P003,booked,2023-02-04,negotiation,partner accepted; capacity held
EV000016,RL00004,P003,resolved,2023-02-25,monitor,closed successfully
EV000017,RL00005,,classified,2023-01-12,intake,
EV000018,RL00005,P003,matched,2023-01-15,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000019,RL00005,P003,booked,2023-01-21,negotiation,partner accepted; capacity held
EV000020,RL00005,P003,resolved,2023-01-30,monitor,closed successfully
EV000021,RL00006,,classified,2023-01-07,intake,
EV000022,RL00006,P001,matched,2023-01-10,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000023,RL00006,P001,booked,2023-01-19,negotiation,partner accepted; capacity held
EV000024,RL00006,P001,resolved,2023-01-29,monitor,closed successfully
EV000025,RL00007,,classified,2023-01-01,intake,
EV000026,RL00007,P001,matched,2023-01-04,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000027,RL00007,P001,booked,2023-01-14,negotiation,partner accepted; capacity held
EV000028,RL00007,P001,resolved,2023-01-24,monitor,closed successfully
EV000029,RL00008,,classified,2023-01-04,intake,
EV000030,RL00008,P002,matched,2023-01-07,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000031,RL00008,P002,booked,2023-01-09,negotiation,partner accepted; capacity held
EV000032,RL00008,P002,resolved,2023-01-27,monitor,closed successfully
EV000033,RL00009,,classified,2023-01-13,intake,
EV000034,RL00009,P002,matched,2023-01-15,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000035,RL00009,P002,booked,2023-01-20,negotiation,partner accepted; capacity held
EV000036,RL00009,P002,resolved,2023-02-03,monitor,closed successfully
EV000037,RL00010,,classified,2023-01-07,intake,
EV000038,RL00010,P001,matched,2023-01-08,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000039,RL00011,,classified,2023-01-11,intake,
EV000040,RL00011,P003,matched,2023-01-13,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000041,RL00011,P003,booked,2023-01-17,negotiation,partner accepted; capacity held
EV000042,RL00011,P003,resolved,2023-02-06,monitor,closed successfully
EV000043,RL00012,,classified,2023-01-03,intake,
EV000044,RL00012,P002,matched,2023-01-06,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000045,RL00012,P002,lost,2023-01-21,monitor,no fit / declined
EV000046,RL00013,,classified,2023-01-27,intake,
EV000047,RL00013,P002,matched,2023-01-30,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000048,RL00013,P002,booked,2023-02-06,negotiation,partner accepted; capacity held
EV000049,RL00013,P002,resolved,2023-02-24,monitor,closed successfully
EV000050,RL00014,,classified,2023-01-27,intake,
EV000051,RL00014,P002,matched,2023-01-28,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000052,RL00014,P002,outreach_sent,2023-01-29,negotiation,round 1
EV000053,RL00014,P002,reply_received,2023-01-30,negotiation,propose_alternative
EV000054,RL00014,P002,outreach_sent,2023-01-31,negotiation,round 2
EV000055,RL00014,P002,reply_received,2023-02-01,negotiation,propose_alternative
EV000056,RL00014,P002,outreach_sent,2023-02-02,negotiation,round 3
EV000057,RL00014,P002,reply_received,2023-02-03,negotiation,propose_alternative
EV000058,RL00015,,classified,2023-01-11,intake,
EV000059,RL00016,,classified,2023-02-27,intake,
EV000060,RL00016,P003,matched,2023-03-02,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000061,RL00017,,classified,2023-02-27,intake,
EV000062,RL00017,P002,matched,2023-03-01,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000063,RL00017,P002,booked,2023-03-05,negotiation,partner accepted; capacity held
EV000064,RL00017,P002,resolved,2023-03-26,monitor,closed successfully
EV000065,RL00018,,classified,2023-02-08,intake,
EV000066,RL00018,P001,matched,2023-02-11,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000067,RL00018,P001,booked,2023-02-13,negotiation,partner accepted; capacity held
EV000068,RL00018,P001,resolved,2023-03-01,monitor,closed successfully
EV000069,RL00019,,classified,2023-02-06,intake,
EV000070,RL00019,P003,matched,2023-02-09,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000071,RL00019,P003,booked,2023-02-16,negotiation,partner accepted; capacity held
EV000072,RL00019,P003,resolved,2023-03-09,monitor,closed successfully
EV000073,RL00020,,classified,2023-02-22,intake,
EV000074,RL00020,P003,matched,2023-02-24,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000075,RL00020,P003,lost,2023-03-04,monitor,no fit / declined
EV000076,RL00021,,classified,2023-02-06,intake,
EV000077,RL00021,P002,matched,2023-02-08,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000078,RL00022,,classified,2023-02-17,intake,
EV000079,RL00022,P002,matched,2023-02-18,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000080,RL00022,P002,booked,2023-02-21,negotiation,partner accepted; capacity held
EV000081,RL00022,P002,resolved,2023-03-07,monitor,closed successfully
EV000082,RL00023,,classified,2023-02-03,intake,
EV000083,RL00023,P003,matched,2023-02-06,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000084,RL00024,,classified,2023-02-10,intake,
EV000085,RL00024,P002,matched,2023-02-11,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000086,RL00025,,classified,2023-02-13,intake,
EV000087,RL00025,P002,matched,2023-02-14,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000088,RL00025,P002,lost,2023-02-20,monitor,no fit / declined
EV000089,RL00026,,classified,2023-02-09,intake,
EV000090,RL00026,P002,matched,2023-02-11,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000091,RL00026,P002,outreach_sent,2023-02-12,negotiation,round 1
EV000092,RL00026,P002,reply_received,2023-02-13,negotiation,propose_alternative
EV000093,RL00026,P002,outreach_sent,2023-02-14,negotiation,round 2
EV000094,RL00026,P002,reply_received,2023-02-15,negotiation,propose_alternative
EV000095,RL00026,P002,outreach_sent,2023-02-16,negotiation,round 3
EV000096,RL00026,P002,reply_received,2023-02-17,negotiation,propose_alternative
EV000097,RL00027,,classified,2023-02-05,intake,
EV000098,RL00028,,classified,2023-02-15,intake,
EV000099,RL00028,P002,matched,2023-02-18,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000100,RL00028,P002,booked,2023-02-26,negotiation,partner accepted; capacity held
EV000101,RL00028,P002,resolved,2023-03-10,monitor,closed successfully
EV000102,RL00029,,classified,2023-02-14,intake,
EV000103,RL00029,P002,matched,2023-02-15,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000104,RL00029,P002,booked,2023-02-17,negotiation,partner accepted; capacity held
EV000105,RL00029,P002,resolved,2023-02-25,monitor,closed successfully
EV000106,RL00030,,classified,2023-02-15,intake,
